iter	Passed	Remaining
0	1	400
1	2	350
2	3	371
3	5	395
4	6	403
5	8	398
6	9	392
7	10	387
8	11	380
9	12	376
10	14	369
11	15	361
12	16	354
13	17	348
14	18	342
15	18	336
16	19	329
17	21	330
18	22	327
19	23	323
20	23	318
21	24	314
22	25	310
23	26	306
24	27	302
25	28	299
26	29	296
27	30	293
28	31	290
29	32	288
30	33	288
31	33	283
32	34	277
33	35	275
34	36	277
35	37	275
36	38	273
37	39	271
38	40	269
39	41	267
40	41	263
41	42	262
42	43	260
43	44	259
44	45	258
45	46	256
46	47	256
47	48	256
48	49	255
49	50	254
50	52	255
51	53	254
52	54	254
53	54	250
54	55	248
55	56	246
56	57	246
57	58	245
58	59	243
59	60	241
60	61	240
61	62	239
62	63	238
63	64	238
64	65	237
65	66	236
66	68	236
67	69	236
68	70	236
69	71	235
70	72	235
71	74	234
72	75	233
73	76	233
74	80	240
75	81	240
76	83	240
77	84	240
78	85	239
79	86	237
80	87	236
81	88	235
82	89	234
83	90	233
84	91	231
85	92	230
86	93	230
87	95	229
88	96	228
89	99	232
90	101	232
91	102	232
92	105	234
93	108	237
94	110	237
95	112	238
96	115	241
97	116	240
98	118	240
99	120	240
100	124	245
101	126	245
102	128	245
103	131	247
104	133	248
105	136	249
106	139	252
107	141	251
108	143	250
109	146	253
110	149	254
111	150	253
112	154	255
113	156	255
114	161	260
115	164	261
116	166	260
117	169	261
118	172	262
119	176	264
120	178	264
121	181	264
122	183	263
123	185	263
124	188	263
125	192	265
126	196	267
127	197	266
128	200	266
129	203	265
130	207	267
131	210	268
132	212	266
133	214	265
134	216	264
135	218	263
136	221	263
137	225	264
138	227	263
139	229	262
140	231	260
141	232	258
142	235	258
143	238	258
144	241	257
145	242	256
146	245	255
147	248	254
148	251	254
149	254	254
150	257	253
151	259	252
152	262	251
153	265	252
154	267	249
155	271	250
156	273	248
157	276	248
158	279	247
159	282	246
160	285	246
161	287	245
162	290	244
163	292	242
164	294	240
165	298	241
166	301	240
167	304	238
168	305	236
169	308	236
170	315	237
171	318	236
172	320	235
173	323	234
174	330	236
175	332	234
176	337	234
177	341	234
178	344	232
179	348	232
180	350	230
181	353	229
182	356	227
183	359	226
184	362	225
185	366	224
186	369	223
187	370	220
188	372	218
189	373	216
190	376	214
191	379	213
192	382	212
193	387	211
194	389	209
195	391	207
196	394	206
197	397	205
198	401	203
199	404	202
200	406	200
201	409	198
202	413	197
203	416	195
204	419	194
205	421	192
206	425	191
207	427	189
208	431	187
209	436	186
210	439	185
211	442	183
212	444	181
213	447	179
214	448	177
215	449	174
216	452	173
217	455	171
218	457	169
219	460	167
220	464	166
221	467	164
222	469	162
223	471	160
224	475	158
225	479	156
226	480	154
227	484	152
228	487	151
229	490	149
230	491	146
231	493	144
232	495	142
233	497	140
234	501	138
235	504	136
236	507	135
237	510	133
238	513	131
239	515	128
240	519	127
241	521	125
242	523	122
243	525	120
244	526	118
245	530	116
246	533	114
247	537	112
248	539	110
249	541	108
250	544	106
251	547	104
252	550	102
253	554	100
254	556	98
255	558	96
256	561	93
257	564	91
258	566	89
259	567	87
260	569	85
261	571	82
262	573	80
263	576	78
264	579	76
265	583	74
266	584	72
267	587	70
268	590	68
269	593	65
270	596	63
271	598	61
272	599	59
273	601	57
274	603	54
275	606	52
276	609	50
277	612	48
278	613	46
279	614	43
280	616	41
281	617	39
282	620	37
283	622	35
284	625	32
285	627	30
286	628	28
287	630	26
288	631	24
289	634	21
290	637	19
291	639	17
292	640	15
293	642	13
294	643	10
295	644	8
296	645	6
297	647	4
298	648	2
299	650	0
