Date,Time_Period,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,C0D-1HA,C0D-2HA,C0D-3HA,C0D-4HA,C1D-1HA,C1D-2HA,C1D-3HA,C1D-4HA,C2D-1HA,C2D-2HA,C2D-3HA,C2D-4HA,C3D-1HA,C3D-2HA,C3D-3HA,C3D-4HA,C4D-1HA,C4D-2HA,C4D-3HA,C4D-4HA,C5D-1HA,C5D-2HA,C5D-3HA,C5D-4HA,Total_Accidents,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Day_Of_Week,Is_Weekend,Is_Holiday
2019-12-01,0,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,9.0,6.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,4.0,7.0,1.0,1,2.8226666666666667,-12.2,46.833333333333336,24.166666666666668,8.166666666666666,50.96666666666667,88.30333333333333,6,1,0
2019-12-01,1,1,1,0,0,0,1,0.0,1.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,7.0,3.0,3.0,4,0.8230000000000001,-11.0,37.66666666666666,22.0,13.666666666666666,57.68333333333334,88.145,6,1,0
2019-12-01,2,0,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,10.0,6,0.2696666666666667,-9.833333333333334,42.5,21.5,11.166666666666666,22.76666666666667,88.04,6,1,0
2019-12-01,3,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1,30.274666666666672,-14.133333333333333,60.833333333333336,23.666666666666668,9.166666666666666,24.100000000000005,88.39,6,1,0
2019-12-02,0,0,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,9.0,6.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,4.0,7.0,2,0.5496666666666665,-10.183333333333334,40.16666666666666,27.5,25.166666666666668,50.96666666666667,88.145,0,0,0
2019-12-02,1,1,1,0,1,1,1,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,2.0,3.0,4.0,0.0,2.0,4.0,4.0,1.0,1.0,7.0,3.0,8,0.3096666666666664,-10.016666666666667,34.833333333333336,27.33333333333333,29.5,64.4,88.02666666666666,0,0,0
2019-12-02,2,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0,0.6760000000000004,-8.616666666666667,41.0,26.5,26.83333333333333,24.100000000000005,88.00166666666667,0,0,0
2019-12-02,3,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3,0.0656666666666666,-8.366666666666667,44.66666666666666,28.33333333333333,29.0,24.100000000000005,88.03833333333334,0,0,0
2019-12-03,0,1,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,9.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,7,4.421666666666669,-4.95,51.16666666666666,22.5,8.0,50.96666666666667,88.05333333333333,1,0,0
2019-12-03,1,1,0,1,1,1,0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,7.0,11,0.838666666666667,-4.083333333333333,41.0,24.666666666666668,11.5,64.4,88.12333333333333,1,0,0
2019-12-03,2,1,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,6,11.873666666666669,-4.95,62.66666666666666,12.333333333333334,6.833333333333333,24.100000000000005,88.04166666666667,1,0,0
2019-12-03,3,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.168,-6.2,44.66666666666666,26.5,15.833333333333334,24.100000000000005,88.02333333333333,1,0,0
2019-12-04,0,0,1,0,1,1,1,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,8,0.8466666666666663,-8.083333333333334,83.16666666666667,21.0,16.333333333333332,26.28333333333333,87.78666666666668,2,0,0
2019-12-04,1,1,0,1,1,1,1,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,5.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,8,0.4510000000000002,-6.25,77.83333333333333,33.5,20.166666666666668,17.683333333333334,88.30833333333334,2,0,0
2019-12-04,2,0,1,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8,0.4896666666666671,-6.3,81.0,30.83333333333333,12.166666666666666,20.08333333333333,88.67333333333333,2,0,0
2019-12-04,3,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0506666666666675,-7.25,85.83333333333333,10.166666666666666,4.0,24.100000000000005,87.84499999999998,2,0,0
2019-12-05,0,1,1,0,0,1,1,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,7,2.435,-10.283333333333331,83.0,21.0,9.666666666666666,50.96666666666667,89.0,3,0,0
2019-12-05,1,1,1,1,1,1,1,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,5.0,2.0,0.0,3.0,0.0,1.0,1.0,16,0.099,-8.083333333333334,71.33333333333333,20.0,8.5,60.366666666666674,88.91333333333334,3,0,0
2019-12-05,2,1,0,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,12,3.0880000000000005,-11.116666666666667,77.0,23.0,6.166666666666667,24.100000000000005,88.98833333333333,3,0,0
2019-12-05,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,3.862666666666669,-8.133333333333333,83.33333333333333,26.166666666666668,6.333333333333333,24.100000000000005,88.90666666666668,3,0,0
2019-12-06,0,0,1,1,0,1,1,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,9,4.637666666666666,-12.7,72.5,23.666666666666668,3.1666666666666665,46.93333333333334,88.78000000000002,4,0,0
2019-12-06,1,1,1,1,1,1,1,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,5.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,4.0,3.0,0.0,1.0,13,1.1976666666666669,-10.116666666666667,54.66666666666666,18.33333333333333,10.666666666666666,37.53333333333333,88.48833333333334,4,0,0
2019-12-06,2,0,0,1,1,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2,0.2950000000000001,-9.15,65.66666666666667,19.666666666666668,11.833333333333334,24.100000000000005,88.05166666666666,4,0,0
2019-12-06,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.2546666666666661,-13.116666666666667,78.83333333333333,17.833333333333332,5.166666666666667,24.100000000000005,88.835,4,0,0
2019-12-07,0,0,0,1,0,0,0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1,0.0976666666666669,-9.266666666666667,81.5,35.333333333333336,24.83333333333333,30.03333333333333,87.91166666666668,5,1,0
2019-12-07,1,1,1,1,1,1,1,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,4.0,3.0,0.0,9,0.6376666666666662,-7.333333333333333,88.5,18.83333333333333,19.83333333333333,7.5,88.26666666666667,5,1,0
2019-12-07,2,0,0,0,1,1,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,3,0.982666666666667,-10.533333333333331,86.16666666666667,5.666666666666667,15.833333333333334,9.250000000000002,88.46499999999999,5,1,0
2019-12-07,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0840000000000005,-7.166666666666667,74.33333333333333,17.0,12.833333333333334,24.100000000000005,87.77833333333332,5,1,0
2019-12-08,0,1,1,1,1,0,1,0.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,3.0,6,1.3150000000000013,-15.716666666666669,86.5,17.166666666666668,8.166666666666666,22.55,88.77166666666666,6,1,0
2019-12-08,1,1,1,1,1,1,1,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,9,0.704,-13.25,75.0,22.666666666666668,9.333333333333334,14.233333333333334,88.66166666666668,6,1,0
2019-12-08,2,1,0,1,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,8,5.801666666666669,-12.016666666666666,74.5,21.0,7.0,18.76666666666667,88.76666666666667,6,1,0
2019-12-08,3,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.3226666666666671,-12.983333333333334,87.16666666666667,4.666666666666667,11.5,3.0,88.60666666666667,6,1,0
2019-12-09,0,1,0,1,1,1,0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,5,2.763,-7.866666666666667,76.66666666666667,19.83333333333333,14.333333333333334,21.71666666666667,89.02166666666666,0,0,0
2019-12-09,1,1,0,1,0,1,1,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,13,0.1976666666666665,-9.766666666666667,85.16666666666667,8.666666666666666,10.0,2.4,89.20333333333333,0,0,0
